Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
24,Thruster Controller Process Memory Tampered,Tampering,Engine Automation System,Optimal Process Command,High,Not Started,,"If Thruster Controller is given access to memory, such as shared memory or pointers, or is given the ability to control what Thruster Process Server executes (for example, passing back a function pointer.), then Thruster Controller can tamper with Thruster Process Server. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
25,Elevation Using Impersonation,Elevation Of Privilege,Engine Automation System,Action Command,High,Not Started,,Engine Control System may be able to impersonate the context of Network Interface System in order to gain additional privilege.,,Generated
26,Data Flow Action Command Is Potentially Interrupted,Denial Of Service,Engine Automation System,Action Command,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
1131,"Spoofing the Emergency monitor, response and alert controller Process",Spoofing,Safety and Emergency System,Optimal Process Command,High,Not Started,,"Emergency monitor, response and alert controller may be spoofed by an attacker and this may lead to unauthorized access to LIDAR. Consider using a standard authentication mechanism to identify the source process.",,Generated
28,Thruster Controller Process Memory Tampered,Tampering,Engine Automation System,Optimal Process Command,High,Not Started,,"If Thruster Controller is given access to memory, such as shared memory or pointers, or is given the ability to control what Propeller Process Server executes (for example, passing back a function pointer.), then Thruster Controller can tamper with Propeller Process Server. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
29,Potential Lack of Input Validation for Propeller Process Server,Tampering,Engine Automation System,Optimal Process Command,High,Not Started,,Data flowing across Optimal Process Command may be tampered with by an attacker. This may lead to a denial of service attack against Propeller Process Server or an elevation of privilege attack against Propeller Process Server or an information disclosure by Propeller Process Server. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,Generated
30,Potential Process Crash or Stop for Engine Control System,Denial Of Service,Engine Automation System,Action Command,High,Not Started,,"Engine Control System crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
31,Spoofing the Propeller Process Server Process,Spoofing,Engine Automation System,Optimal Process Command,High,Not Started,,Propeller Process Server may be spoofed by an attacker and this may lead to information disclosure by Thruster Controller. Consider using a standard authentication mechanism to identify the destination process.,,Generated
32,Cross Site Request Forgery,Elevation Of Privilege,Engine Automation System,Performance Data,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting etc.  The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
33,Potential Lack of Input Validation for Thruster Process Server,Tampering,Engine Automation System,Optimal Process Command,High,Not Started,,Data flowing across Optimal Process Command may be tampered with by an attacker. This may lead to a denial of service attack against Thruster Process Server or an elevation of privilege attack against Thruster Process Server or an information disclosure by Thruster Process Server. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,Generated
34,Spoofing the Thruster Process Server Process,Spoofing,Engine Automation System,Optimal Process Command,High,Not Started,,Thruster Process Server may be spoofed by an attacker and this may lead to information disclosure by Thruster Controller. Consider using a standard authentication mechanism to identify the destination process.,,Generated
35,Cross Site Request Forgery,Elevation Of Privilege,Engine Automation System,Performance Data,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting etc.  The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
36,Elevation by Changing the Execution Flow in Thruster Controller,Elevation Of Privilege,Engine Automation System,Performance Data,High,Not Started,,An attacker may pass data into Thruster Controller in order to change the flow of program execution within Thruster Controller to the attacker's choosing.,,Generated
37,Thruster Controller May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Engine Automation System,Performance Data,High,Not Started,,Thruster Process Server may be able to remotely execute code for Thruster Controller.,,Generated
38,Elevation Using Impersonation,Elevation Of Privilege,Engine Automation System,Performance Data,High,Not Started,,Thruster Controller may be able to impersonate the context of Thruster Process Server in order to gain additional privilege.,,Generated
39,Data Flow Performance Data Is Potentially Interrupted,Denial Of Service,Engine Automation System,Performance Data,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
40,Generator Controller May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Engine Automation System,Performance Data,High,Not Started,,Generator Process Server may be able to remotely execute code for Generator Controller.,,Generated
41,Elevation Using Impersonation,Elevation Of Privilege,Engine Automation System,Performance Data,High,Not Started,,Generator Controller may be able to impersonate the context of Generator Process Server in order to gain additional privilege.,,Generated
42,Data Flow Performance Data Is Potentially Interrupted,Denial Of Service,Engine Automation System,Performance Data,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
43,Potential Process Crash or Stop for Generator Controller,Denial Of Service,Engine Automation System,Performance Data,High,Not Started,,"Generator Controller crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
44,Data Flow Sniffing,Information Disclosure,Engine Automation System,Performance Data,High,Not Started,,"Data flowing across Performance Data may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
45,Potential Data Repudiation by Generator Controller,Repudiation,Engine Automation System,Performance Data,High,Not Started,,"Generator Controller claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
46,Potential Lack of Input Validation for Generator Controller,Tampering,Engine Automation System,Performance Data,High,Not Started,,Data flowing across Performance Data may be tampered with by an attacker. This may lead to a denial of service attack against Generator Controller or an elevation of privilege attack against Generator Controller or an information disclosure by Generator Controller. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,Generated
47,Spoofing the Generator Controller Process,Spoofing,Engine Automation System,Performance Data,High,Not Started,,Generator Controller may be spoofed by an attacker and this may lead to information disclosure by Generator Process Server. Consider using a standard authentication mechanism to identify the destination process.,,Generated
48,Weak Credential Transit,Information Disclosure,Engine Automation System,Action Command,High,Not Started,,"Credentials on the wire are often subject to sniffing by an attacker. Are the credentials re-usable/re-playable? Are credentials included in a message? For example, sending a zip file with the password in the email. Use strong cryptography for the transmission of credentials. Use the OS libraries if at all possible, and consider cryptographic algorithm agility, rather than hardcoding a choice.",,Generated
49,Cross Site Request Forgery,Elevation Of Privilege,Engine Automation System,Performance Data,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting etc.  The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
50,Propeller Process Server May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Engine Automation System,Optimal Process Command,High,Not Started,,Thruster Controller may be able to remotely execute code for Propeller Process Server.,,Generated
51,Elevation Using Impersonation,Elevation Of Privilege,Engine Automation System,Optimal Process Command,High,Not Started,,Propeller Process Server may be able to impersonate the context of Thruster Controller in order to gain additional privilege.,,Generated
52,Data Flow Optimal Process Command Is Potentially Interrupted,Denial Of Service,Engine Automation System,Optimal Process Command,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
53,Elevation by Changing the Execution Flow in Engine Control System,Elevation Of Privilege,Engine Automation System,Performance Data,High,Not Started,,An attacker may pass data into Engine Control System in order to change the flow of program execution within Engine Control System to the attacker's choosing.,,Generated
54,Potential Process Crash or Stop for Propeller Process Server,Denial Of Service,Engine Automation System,Optimal Process Command,High,Not Started,,"Propeller Process Server crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
1135,"Spoofing the Emergency monitor, response and alert controller Process",Spoofing,Safety and Emergency System,Optimal Process Command,High,Not Started,,"Emergency monitor, response and alert controller may be spoofed by an attacker and this may lead to unauthorized access to Alarms. Consider using a standard authentication mechanism to identify the source process.",,Generated
56,Potential Process Crash or Stop for Thruster Controller,Denial Of Service,Engine Automation System,Performance Data,High,Not Started,,"Thruster Controller crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
57,Data Flow Sniffing,Information Disclosure,Engine Automation System,Performance Data,High,Not Started,,"Data flowing across Performance Data may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
58,Potential Data Repudiation by Thruster Controller,Repudiation,Engine Automation System,Performance Data,High,Not Started,,"Thruster Controller claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
59,Potential Lack of Input Validation for Thruster Controller,Tampering,Engine Automation System,Performance Data,High,Not Started,,Data flowing across Performance Data may be tampered with by an attacker. This may lead to a denial of service attack against Thruster Controller or an elevation of privilege attack against Thruster Controller or an information disclosure by Thruster Controller. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,Generated
60,Spoofing the Thruster Controller Process,Spoofing,Engine Automation System,Performance Data,High,Not Started,,Thruster Controller may be spoofed by an attacker and this may lead to information disclosure by Thruster Process Server. Consider using a standard authentication mechanism to identify the destination process.,,Generated
61,Spoofing the Thruster Process Server Process,Spoofing,Engine Automation System,Performance Data,High,Not Started,,Thruster Process Server may be spoofed by an attacker and this may lead to unauthorized access to Thruster Controller. Consider using a standard authentication mechanism to identify the source process.,,Generated
62,Cross Site Request Forgery,Elevation Of Privilege,Engine Automation System,Optimal Process Command,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting etc.  The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
63,Elevation by Changing the Execution Flow in Generator Process Server,Elevation Of Privilege,Engine Automation System,Optimal Process Command,High,Not Started,,An attacker may pass data into Generator Process Server in order to change the flow of program execution within Generator Process Server to the attacker's choosing.,,Generated
64,Spoofing the Generator Process Server Process,Spoofing,Engine Automation System,Performance Data,High,Not Started,,Generator Process Server may be spoofed by an attacker and this may lead to unauthorized access to Generator Controller. Consider using a standard authentication mechanism to identify the source process.,,Generated
65,Cross Site Request Forgery,Elevation Of Privilege,Engine Automation System,Performance Data,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting etc.  The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
66,Elevation by Changing the Execution Flow in Engine Automation Controller,Elevation Of Privilege,Engine Automation System,Performance Data,High,Not Started,,An attacker may pass data into Engine Automation Controller in order to change the flow of program execution within Engine Automation Controller to the attacker's choosing.,,Generated
67,Engine Automation Controller May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Engine Automation System,Performance Data,High,Not Started,,Fuel System Process Server may be able to remotely execute code for Engine Automation Controller.,,Generated
68,Elevation Using Impersonation,Elevation Of Privilege,Engine Automation System,Performance Data,High,Not Started,,Engine Automation Controller may be able to impersonate the context of Fuel System Process Server in order to gain additional privilege.,,Generated
69,Data Flow Performance Data Is Potentially Interrupted,Denial Of Service,Engine Automation System,Performance Data,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
70,Potential Process Crash or Stop for Engine Automation Controller,Denial Of Service,Engine Automation System,Performance Data,High,Not Started,,"Engine Automation Controller crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
71,Data Flow Sniffing,Information Disclosure,Engine Automation System,Performance Data,High,Not Started,,"Data flowing across Performance Data may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
72,Engine Control System May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Engine Automation System,Performance Data,High,Not Started,,Thruster Controller may be able to remotely execute code for Engine Control System.,,Generated
73,Elevation Using Impersonation,Elevation Of Privilege,Engine Automation System,Performance Data,High,Not Started,,Engine Control System may be able to impersonate the context of Thruster Controller in order to gain additional privilege.,,Generated
74,Elevation by Changing the Execution Flow in Thruster Controller,Elevation Of Privilege,Engine Automation System,Performance Data,High,Not Started,,An attacker may pass data into Thruster Controller in order to change the flow of program execution within Thruster Controller to the attacker's choosing.,,Generated
75,Thruster Controller May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Engine Automation System,Performance Data,High,Not Started,,Propeller Process Server may be able to remotely execute code for Thruster Controller.,,Generated
76,Elevation Using Impersonation,Elevation Of Privilege,Engine Automation System,Performance Data,High,Not Started,,Thruster Controller may be able to impersonate the context of Propeller Process Server in order to gain additional privilege.,,Generated
77,Data Flow Performance Data Is Potentially Interrupted,Denial Of Service,Engine Automation System,Performance Data,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
78,Data Flow Performance Data Is Potentially Interrupted,Denial Of Service,Engine Automation System,Performance Data,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
79,Potential Process Crash or Stop for Thruster Controller,Denial Of Service,Engine Automation System,Performance Data,High,Not Started,,"Thruster Controller crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
80,Generator Process Server May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Engine Automation System,Optimal Process Command,High,Not Started,,Generator Controller may be able to remotely execute code for Generator Process Server.,,Generated
81,Elevation Using Impersonation,Elevation Of Privilege,Engine Automation System,Optimal Process Command,High,Not Started,,Generator Process Server may be able to impersonate the context of Generator Controller in order to gain additional privilege.,,Generated
82,Data Flow Optimal Process Command Is Potentially Interrupted,Denial Of Service,Engine Automation System,Optimal Process Command,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
83,Potential Process Crash or Stop for Generator Process Server,Denial Of Service,Engine Automation System,Optimal Process Command,High,Not Started,,"Generator Process Server crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
1107,Propeller Process Server Process Memory Tampered,Tampering,Engine Automation System,Performance Data,High,Not Started,,"If Propeller Process Server is given access to memory, such as shared memory or pointers, or is given the ability to control what Thruster Controller executes (for example, passing back a function pointer.), then Propeller Process Server can tamper with Thruster Controller. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
85,Data Flow Sniffing,Information Disclosure,Engine Automation System,Optimal Process Command,High,Not Started,,"Data flowing across Optimal Process Command may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
86,Potential Data Repudiation by Generator Process Server,Repudiation,Engine Automation System,Optimal Process Command,High,Not Started,,"Generator Process Server claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
1106,Thruster Process Server Process Memory Tampered,Tampering,Engine Automation System,Performance Data,High,Not Started,,"If Thruster Process Server is given access to memory, such as shared memory or pointers, or is given the ability to control what Thruster Controller executes (for example, passing back a function pointer.), then Thruster Process Server can tamper with Thruster Controller. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
88,Potential Process Crash or Stop for Engine Control System,Denial Of Service,Engine Automation System,Performance Data,High,Not Started,,"Engine Control System crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
1134,"Spoofing the Emergency monitor, response and alert controller Process",Spoofing,Safety and Emergency System,Surveillance data/ Sensor data/ Access logs,High,Not Started,,"Emergency monitor, response and alert controller may be spoofed by an attacker and this may lead to unauthorized access to Safety Monitoring System. Consider using a standard authentication mechanism to identify the source process.",,Generated
90,Data Flow Sniffing,Information Disclosure,Engine Automation System,Performance Data,High,Not Started,,"Data flowing across Performance Data may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
91,Data Flow Sniffing,Information Disclosure,Engine Automation System,Performance Data,High,Not Started,,"Data flowing across Performance Data may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
92,Potential Data Repudiation by Engine Control System,Repudiation,Engine Automation System,Performance Data,High,Not Started,,"Engine Control System claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
1130,"Spoofing the Emergency monitor, response and alert controller Process",Spoofing,Safety and Emergency System,Optimal Process Command,High,Not Started,,"Emergency monitor, response and alert controller may be spoofed by an attacker and this may lead to unauthorized access to CCTV. Consider using a standard authentication mechanism to identify the source process.",,Generated
94,Potential Data Repudiation by Engine Automation Controller,Repudiation,Engine Automation System,Performance Data,High,Not Started,,"Engine Automation Controller claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
95,Potential Lack of Input Validation for Engine Automation Controller,Tampering,Engine Automation System,Performance Data,High,Not Started,,Data flowing across Performance Data may be tampered with by an attacker. This may lead to a denial of service attack against Engine Automation Controller or an elevation of privilege attack against Engine Automation Controller or an information disclosure by Engine Automation Controller. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,Generated
96,Spoofing the Engine Automation Controller Process,Spoofing,Engine Automation System,Performance Data,High,Not Started,,Engine Automation Controller may be spoofed by an attacker and this may lead to information disclosure by Fuel System Process Server. Consider using a standard authentication mechanism to identify the destination process.,,Generated
97,Spoofing the Fuel System Process Server Process,Spoofing,Engine Automation System,Performance Data,High,Not Started,,Fuel System Process Server may be spoofed by an attacker and this may lead to unauthorized access to Engine Automation Controller. Consider using a standard authentication mechanism to identify the source process.,,Generated
